time,aao,fase
1979-01-01,0.2088,neutral
1979-02-01,0.3563,neutral
1979-03-01,0.8992,positivo
1979-04-01,0.6776,positivo
1979-05-01,0.7237,positivo
1979-06-01,1.7,positivo
1979-07-01,2.4121,positivo
1979-08-01,0.5455,positivo
1979-09-01,0.6295,positivo
1979-10-01,0.1598,neutral
1979-11-01,-0.4225,neutral
1979-12-01,-0.9507,negativo
1980-01-01,-0.447,neutral
1980-02-01,-0.9797,negativo
1980-03-01,-1.4244,negativo
1980-04-01,-2.0682,negativo
1980-05-01,-0.4787,neutral
1980-06-01,0.2857,neutral
1980-07-01,-1.9439,negativo
1980-08-01,-0.9968,negativo
1980-09-01,-1.7008,negativo
1980-10-01,0.5774,positivo
1980-11-01,-2.0129,negativo
1980-12-01,-0.3563,neutral
1981-01-01,0.2305,neutral
1981-02-01,0.0393,neutral
1981-03-01,-0.9655,negativo
1981-04-01,-1.462,negativo
1981-05-01,-0.344,neutral
1981-06-01,0.3517,neutral
1981-07-01,-0.9859,negativo
1981-08-01,-2.1183,negativo
1981-09-01,-1.5094,negativo
1981-10-01,-0.2603,neutral
1981-11-01,0.6256,positivo
1981-12-01,1.1164,positivo
1982-01-01,-0.5544,negativo
1982-02-01,0.2772,neutral
1982-03-01,1.6035,positivo
1982-04-01,1.5314,positivo
1982-05-01,0.1179,neutral
1982-06-01,0.9201,positivo
1982-07-01,-0.4147,neutral
1982-08-01,0.7793,positivo
1982-09-01,1.58,positivo
1982-10-01,-0.7023,negativo
1982-11-01,-0.8492,negativo
1982-12-01,-1.9337,negativo
1983-01-01,-1.3404,negativo
1983-02-01,-1.0807,negativo
1983-03-01,0.1663,neutral
1983-04-01,0.1494,neutral
1983-05-01,-0.4372,neutral
1983-06-01,-0.2628,neutral
1983-07-01,1.1141,positivo
1983-08-01,0.792,positivo
1983-09-01,-0.696,negativo
1983-10-01,1.1935,positivo
1983-11-01,0.7274,positivo
1983-12-01,0.4755,neutral
1984-01-01,-1.0975,negativo
1984-02-01,-0.5437,negativo
1984-03-01,0.2509,neutral
1984-04-01,-0.2042,neutral
