inicio,fin,duracion_dias,intensidad_media_c,intensidad_max_c,categoria_max,dias_cat2plus
1993-10-20,1993-10-27,8,0.42,0.5,2,1
1993-11-21,1993-11-29,9,0.43,0.52,1,0
1994-01-02,1994-01-17,16,0.95,1.36,4,13
1994-06-20,1994-06-25,6,0.27,0.44,2,1
1994-07-16,1994-07-21,6,0.14,0.19,1,0
1995-02-18,1995-02-26,9,0.73,1.03,2,4
1996-09-25,1996-09-30,6,0.37,0.47,2,2
1997-10-12,1997-10-17,6,0.27,0.29,1,0
1998-02-19,1998-02-25,7,0.5,0.61,1,0
1998-03-15,1998-03-22,8,0.44,0.51,1,0
1998-04-15,1998-04-27,13,0.32,0.49,2,2
1998-05-04,1998-05-18,15,0.38,0.55,2,2
1998-05-26,1998-05-31,6,0.2,0.24,1,0
1998-06-08,1998-06-16,9,0.48,0.59,3,5
1998-07-09,1998-07-24,16,0.27,0.36,2,8
1998-07-29,1998-08-02,5,0.2,0.25,1,0
1998-09-26,1998-10-03,8,0.26,0.32,1,0
2004-02-21,2004-02-26,6,0.67,0.85,2,2
2004-03-18,2004-03-23,6,0.42,0.44,1,0
2004-05-11,2004-05-18,8,0.27,0.34,1,0
2004-06-27,2004-07-04,8,0.28,0.33,2,4
2004-07-08,2004-07-19,12,0.14,0.18,1,0
2004-08-27,2004-08-31,5,0.18,0.2,1,0
2004-10-09,2004-10-18,10,0.44,0.59,3,6
2006-01-24,2006-01-29,6,0.35,0.37,1,0
2008-01-28,2008-02-05,9,0.61,0.85,3,3
2008-02-24,2008-02-28,5,0.51,0.57,1,0
2008-12-08,2008-12-25,18,0.81,1.52,3,7
2009-03-09,2009-03-17,9,0.41,0.55,1,0
2009-06-10,2009-06-14,5,0.27,0.3,1,0
2009-12-10,2009-12-15,6,0.75,0.93,2,2
2011-02-11,2011-02-16,6,0.45,0.54,1,0
2011-11-15,2011-11-20,6,0.58,0.73,1,0
2011-12-12,2012-01-24,44,0.67,1.14,2,9
2013-01-18,2013-01-24,7,0.53,0.59,1,0
2013-02-08,2013-02-16,9,0.65,0.84,1,0
2015-09-01,2015-09-08,8,0.18,0.22,1,0
2015-11-02,2015-11-06,5,0.41,0.57,1,0
2016-05-09,2016-05-20,12,0.54,0.68,3,9
2016-05-24,2016-06-03,11,0.44,0.53,3,6
2016-06-10,2016-06-27,18,0.34,0.51,2,4
2016-07-08,2016-07-12,5,0.17,0.19,1,0
2016-07-16,2016-07-21,6,0.15,0.21,1,0
2016-09-26,2016-10-01,6,0.38,0.5,2,3
2016-10-26,2016-11-02,8,0.4,0.46,1,0
2017-03-21,2017-04-27,38,0.64,0.85,3,28
2017-11-28,2017-12-06,9,0.48,0.82,2,1
2019-02-01,2019-02-08,8,1.29,2.38,4,5
2019-02-12,2019-02-16,5,0.6,0.76,1,0
2019-03-14,2019-03-18,5,0.74,0.91,2,4
2019-08-27,2019-09-01,6,0.26,0.3,1,0
2019-09-05,2019-09-09,5,0.15,0.19,1,0
2019-10-18,2019-10-24,7,0.39,0.44,1,0
2019-11-11,2019-11-26,16,0.58,0.99,2,1
2019-11-30,2019-12-04,5,0.58,0.68,2,1
2019-12-29,2020-01-07,10,0.89,1.3,3,6
2020-01-11,2020-01-30,20,0.76,1.52,3,10
2020-02-05,2020-02-12,8,0.62,0.76,2,1
2020-02-29,2020-03-16,17,0.95,1.96,4,7
2020-03-24,2020-04-04,12,0.48,0.57,1,0
2020-07-25,2020-08-06,13,0.24,0.32,1,0
2020-11-06,2020-11-28,23,1.02,2.16,4,14
2020-12-03,2020-12-12,10,0.76,1.12,3,4
2020-12-18,2021-01-08,22,0.6,0.88,2,3
2021-01-23,2021-02-17,26,1.13,2.39,4,16
2021-02-25,2021-03-22,26,0.83,1.55,3,11
2021-03-31,2021-04-04,5,0.47,0.61,1,0
2021-09-02,2021-09-11,10,0.31,0.37,3,7
2021-11-09,2021-11-15,7,0.65,0.89,1,0
2021-12-02,2021-12-31,30,1.23,1.67,4,24
2022-01-04,2022-02-17,45,1.02,2.29,4,32
2022-12-15,2022-12-20,6,0.59,0.71,1,0
2023-01-17,2023-02-06,21,0.82,1.59,3,12
2023-12-06,2023-12-15,10,0.85,1.19,3,6
2023-12-25,2024-01-12,19,0.85,1.56,3,8
2024-01-22,2024-02-01,11,0.77,1.01,3,10
2024-12-08,2025-01-14,38,0.88,1.63,4,17
2025-01-18,2025-01-28,11,0.58,0.73,1,0
2025-08-28,2025-09-05,9,0.22,0.27,2,1
2025-09-25,2025-09-29,5,0.35,0.41,1,0
2025-11-03,2025-11-17,15,0.82,1.39,2,7
2025-11-26,2025-12-15,20,0.81,1.25,3,11
2025-12-19,2025-12-25,7,0.66,0.79,1,0
2025-12-31,2026-03-02,62,1.37,2.72,4,53
2026-03-07,2026-03-20,14,0.75,1.18,3,8
2026-05-25,2026-06-15,22,0.62,1.06,4,16
