time,anomalia_media_c
2026-01-01,0.0965
2026-01-02,0.005
2026-01-03,-0.0086
2026-01-04,-0.0123
2026-01-05,-0.0324
2026-01-06,-0.0136
2026-01-07,-0.0103
2026-01-08,-0.0087
2026-01-09,0.02
2026-01-10,0.0537
2026-01-11,0.1096
2026-01-12,0.2323
2026-01-13,0.3307
2026-01-14,0.4043
2026-01-15,0.4735
2026-01-16,0.5065
2026-01-17,0.5169
2026-01-18,0.4729
2026-01-19,0.3679
2026-01-20,0.2527
2026-01-21,0.1777
2026-01-22,0.1076
2026-01-23,0.0444
2026-01-24,-0.0302
2026-01-25,-0.1084
2026-01-26,-0.1163
2026-01-27,-0.1069
2026-01-28,-0.0681
2026-01-29,0.0013
2026-01-30,0.179
2026-01-31,0.3464
2026-02-01,0.5508
2026-02-02,0.6697
2026-02-03,0.7422
2026-02-04,0.7155
2026-02-05,0.6409
2026-02-06,0.4694
2026-02-07,0.3395
2026-02-08,0.2083
2026-02-09,0.1209
2026-02-10,0.0619
2026-02-11,0.0288
2026-02-12,0.048
2026-02-13,0.0719
2026-02-14,0.0617
2026-02-15,0.0466
2026-02-16,0.0337
2026-02-17,0.0011
2026-02-18,0.0004
2026-02-19,-0.053
2026-02-20,-0.0914
2026-02-21,-0.0781
2026-02-22,-0.0419
2026-02-23,-0.0571
2026-02-24,-0.0506
2026-02-25,-0.0202
2026-02-26,0.0284
2026-02-27,0.0453
2026-02-28,0.0516
2026-03-01,0.0379
2026-03-02,0.0579
2026-03-03,0.0354
2026-03-04,-0.0015
2026-03-05,-0.0853
2026-03-06,-0.1199
2026-03-07,-0.1397
2026-03-08,-0.1138
2026-03-09,-0.1073
2026-03-10,-0.0265
2026-03-11,0.0903
2026-03-12,0.2554
2026-03-13,0.4356
2026-03-14,0.5638
2026-03-15,0.6438
2026-03-16,0.6908
2026-03-17,0.6976
2026-03-18,0.6394
2026-03-19,0.5355
2026-03-20,0.3997
2026-03-21,0.2435
2026-03-22,0.0994
2026-03-23,0.0014
2026-03-24,-0.0846
2026-03-25,-0.1344
2026-03-26,-0.1656
2026-03-27,-0.1835
2026-03-28,-0.1742
2026-03-29,-0.1355
2026-03-30,-0.0782
2026-03-31,0.0126
2026-04-01,0.0829
2026-04-02,0.1538
2026-04-03,0.2058
2026-04-04,0.2826
2026-04-05,0.3392
2026-04-06,0.376
2026-04-07,0.3867
2026-04-08,0.393
2026-04-09,0.4014
2026-04-10,0.4095
2026-04-11,0.4197
2026-04-12,0.404
2026-04-13,0.3695
2026-04-14,0.3424
2026-04-15,0.3257
2026-04-16,0.3117
2026-04-17,0.2952
2026-04-18,0.2522
2026-04-19,0.2055
2026-04-20,0.1715
2026-04-21,0.1233
2026-04-22,0.0819
2026-04-23,0.0554
2026-04-24,0.0204
2026-04-25,0.0121
2026-04-26,0.016
2026-04-27,0.0163
2026-04-28,0.0059
2026-04-29,-0.0158
2026-04-30,-0.0288
2026-05-01,-0.0471
2026-05-02,-0.0831
2026-05-03,-0.1172
2026-05-04,-0.1398
2026-05-05,-0.157
2026-05-06,-0.149
2026-05-07,-0.1637
2026-05-08,-0.1838
2026-05-09,-0.2074
2026-05-10,-0.2755
2026-05-11,-0.3337
2026-05-12,-0.3534
2026-05-13,-0.3959
2026-05-14,-0.438
2026-05-15,-0.4529
2026-05-16,-0.4716
2026-05-17,-0.4575
2026-05-18,-0.4418
2026-05-19,-0.4456
2026-05-20,-0.4324
2026-05-21,-0.3923
2026-05-22,-0.3704
2026-05-23,-0.3326
2026-05-24,-0.2812
2026-05-25,-0.2366
2026-05-26,-0.1932
2026-05-27,-0.1927
2026-05-28,-0.1509
2026-05-29,-0.1177
2026-05-30,-0.0857
2026-05-31,-0.0667
2026-06-01,-0.0416
2026-06-02,0.0366
2026-06-03,0.1546
2026-06-04,0.1744
2026-06-05,0.2458
2026-06-06,0.3254
2026-06-07,0.3905
2026-06-08,0.4512
2026-06-09,0.436
2026-06-10,0.3996
2026-06-11,0.3921
2026-06-12,0.3501
2026-06-13,0.2872
2026-06-14,0.2462
2026-06-15,0.1813
2026-06-16,0.1497
2026-06-17,0.1275
2026-06-18,0.0958
2026-06-19,0.0658
2026-06-20,0.0574
2026-06-21,0.0428
2026-06-22,0.0322
2026-06-23,0.0091
2026-06-24,-0.0199
2026-06-25,-0.0149
2026-06-26,-0.0064
2026-06-27,-0.0275
2026-06-28,-0.0283
