inicio,fin,duracion_dias,intensidad_media_c,intensidad_max_c,categoria_max,dias_cat2plus
1993-10-23,1993-10-27,5,0.71,0.84,2,2
1994-06-16,1994-06-22,7,0.52,0.55,1,0
1994-11-21,1994-11-27,7,0.71,0.79,1,0
1994-12-28,1995-01-11,15,0.62,0.79,1,0
1995-12-01,1995-12-06,6,0.67,0.79,1,0
1995-12-17,1996-01-06,21,1.11,1.54,2,5
1996-02-15,1996-02-19,5,0.64,0.74,1,0
1996-03-03,1996-03-11,9,0.56,0.69,1,0
1997-08-19,1997-09-02,15,0.46,0.67,2,2
1997-09-07,1997-09-30,24,0.44,0.6,1,0
1997-10-28,1997-11-13,17,0.62,0.92,1,0
1997-11-22,1997-11-28,7,0.83,1.01,1,0
1998-02-19,1998-03-03,13,1.06,1.37,2,5
1998-03-31,1998-09-09,163,0.87,1.35,3,73
1998-09-13,1998-10-11,29,0.46,0.71,2,1
1999-10-17,1999-10-24,8,0.57,0.69,1,0
1999-11-18,1999-11-22,5,0.81,0.93,1,0
2002-12-12,2002-12-19,8,1.0,1.26,2,3
2003-10-13,2003-10-17,5,0.43,0.47,1,0
2004-03-04,2004-03-08,5,0.63,0.72,1,0
2004-03-27,2004-04-13,18,0.62,0.69,1,0
2004-08-17,2004-08-22,6,0.43,0.47,1,0
2004-10-10,2004-10-16,7,0.41,0.54,1,0
2004-11-09,2004-11-13,5,1.03,1.13,2,5
2004-11-17,2004-11-22,6,0.57,0.61,1,0
2004-12-06,2004-12-13,8,0.69,0.81,1,0
2005-01-09,2005-01-15,7,0.55,0.66,1,0
2005-02-17,2005-02-24,8,0.71,0.93,1,0
2005-11-08,2005-11-17,10,0.74,1.07,2,3
2006-01-21,2006-01-26,6,0.76,0.86,1,0
2006-07-17,2006-07-26,10,0.45,0.51,1,0
2007-01-27,2007-02-05,10,1.0,1.5,2,3
2007-02-12,2007-02-17,6,0.85,0.96,1,0
2007-03-14,2007-03-19,6,1.06,1.24,3,5
2008-01-30,2008-02-03,5,0.89,1.1,1,0
2008-02-29,2008-03-05,6,0.85,1.0,1,0
2008-10-09,2008-10-22,14,0.41,0.52,1,0
2008-12-03,2008-12-24,22,1.4,2.29,3,14
2009-03-18,2009-03-24,7,0.58,1.06,2,1
2012-03-13,2012-03-17,5,0.7,0.83,1,0
2013-02-06,2013-02-10,5,0.65,0.71,1,0
2014-09-09,2014-09-15,7,0.32,0.36,1,0
2015-04-12,2015-04-19,8,0.7,0.78,1,0
2015-05-17,2015-06-14,29,0.74,0.92,1,0
2015-08-30,2015-09-04,6,0.39,0.54,1,0
2015-12-01,2015-12-06,6,0.81,0.93,1,0
2016-01-17,2016-02-08,23,0.84,1.18,2,1
2016-05-31,2016-06-06,7,0.54,0.59,1,0
2016-07-18,2016-07-23,6,0.48,0.57,1,0
2016-07-29,2016-08-09,12,0.37,0.43,1,0
2016-09-03,2016-09-16,14,0.4,0.5,1,0
2016-09-27,2016-10-03,7,0.42,0.54,1,0
2016-10-18,2016-11-02,16,0.72,1.07,2,4
2016-11-24,2016-12-06,13,0.68,0.85,1,0
2017-01-20,2017-02-11,23,0.89,1.5,2,4
2017-02-22,2017-02-27,6,0.74,1.01,1,0
2017-03-06,2017-03-14,9,0.53,0.61,1,0
2017-03-20,2017-03-26,7,0.7,0.79,1,0
2017-04-06,2017-04-10,5,0.67,0.81,1,0
2017-04-15,2017-04-26,12,0.74,0.83,1,0
2017-05-02,2017-05-25,24,0.74,0.95,1,0
2017-07-03,2017-07-11,9,0.47,0.53,1,0
2017-08-16,2017-08-21,6,0.41,0.46,1,0
2020-03-03,2020-03-07,5,1.07,1.32,2,3
2020-03-24,2020-04-05,13,0.75,1.01,1,0
2020-04-19,2020-05-12,24,0.78,1.16,1,0
2020-05-16,2020-05-26,11,0.8,0.98,1,0
2020-06-06,2020-06-25,20,0.65,0.78,1,0
2020-08-01,2020-08-13,13,0.49,0.6,1,0
2021-01-21,2021-01-26,6,0.96,1.44,2,2
2021-12-25,2021-12-31,7,1.05,1.35,2,1
2022-01-09,2022-01-14,6,1.03,1.35,2,4
2024-02-01,2024-02-10,10,1.02,1.55,2,3
2025-08-17,2025-08-21,5,0.48,0.52,1,0
2025-09-24,2025-09-28,5,0.47,0.52,1,0
2025-10-27,2025-11-16,21,0.71,1.0,2,3
2025-11-25,2025-12-11,17,1.07,1.85,3,6
2026-03-11,2026-03-16,6,0.75,0.98,2,2
