inicio,fin,duracion_dias,intensidad_media_c,intensidad_max_c,categoria_max,dias_cat2plus
1994-01-05,1994-01-30,26,1.26,1.97,2,6
1994-03-15,1994-03-19,5,0.61,0.69,1,0
1994-10-27,1994-11-03,8,0.68,0.84,1,0
1995-12-01,1995-12-19,19,1.27,2.03,3,10
1995-12-23,1996-01-09,18,1.62,2.57,3,8
1998-05-04,1998-05-19,16,0.32,0.42,1,0
1998-05-24,1998-06-26,34,0.4,0.53,2,11
1998-06-30,1998-07-12,13,0.37,0.48,1,0
1998-07-29,1998-08-21,24,0.31,0.4,1,0
1998-08-27,1998-08-31,5,0.24,0.26,1,0
1998-09-04,1998-09-08,5,0.23,0.25,1,0
1998-09-22,1998-10-17,26,0.45,0.62,2,3
1999-07-07,1999-07-11,5,0.25,0.27,1,0
1999-11-02,1999-11-25,24,0.59,0.75,2,2
2001-09-29,2001-10-03,5,0.42,0.47,1,0
2001-12-01,2001-12-13,13,0.81,1.04,1,0
2004-03-20,2004-04-05,17,0.6,0.77,1,0
2004-06-02,2004-06-06,5,0.27,0.3,1,0
2004-07-19,2004-07-25,7,0.31,0.35,1,0
2004-07-29,2004-08-13,16,0.28,0.35,1,0
2004-08-17,2004-08-22,6,0.3,0.38,1,0
2004-11-09,2004-11-19,11,0.46,0.59,1,0
2005-01-18,2005-01-22,5,0.8,0.98,1,0
2007-01-07,2007-01-11,5,0.98,1.2,1,0
2007-01-31,2007-02-06,7,1.04,1.22,1,0
2008-02-19,2008-02-23,5,0.86,0.99,1,0
2008-03-01,2008-03-12,12,0.72,1.01,1,0
2008-10-13,2008-10-18,6,0.39,0.46,1,0
2008-12-12,2008-12-16,5,0.87,0.98,1,0
2008-12-25,2009-01-05,12,0.92,1.5,1,0
2009-01-10,2009-01-14,5,0.92,1.09,1,0
2009-01-20,2009-02-01,13,0.91,1.07,1,0
2009-04-19,2009-04-29,11,0.39,0.46,1,0
2009-05-03,2009-05-10,8,0.32,0.37,1,0
2011-02-18,2011-03-05,16,0.74,1.02,1,0
2013-12-15,2013-12-19,5,1.14,1.47,2,2
2014-08-27,2014-08-31,5,0.23,0.25,1,0
2016-05-10,2016-05-17,8,0.41,0.46,2,1
2016-05-28,2016-06-06,10,0.26,0.33,1,0
2016-08-05,2016-08-13,9,0.27,0.3,1,0
2016-08-20,2016-08-31,12,0.22,0.26,1,0
2016-10-21,2016-11-04,15,0.67,0.94,2,1
2017-04-14,2017-05-09,26,0.64,1.15,3,12
2017-07-02,2017-07-10,9,0.25,0.31,1,0
2017-08-20,2017-08-28,9,0.22,0.26,1,0
2018-03-04,2018-03-09,6,0.72,0.94,1,0
2019-02-02,2019-02-18,17,1.11,1.85,2,3
2019-11-10,2019-11-16,7,0.53,0.65,2,2
2019-12-24,2020-01-07,15,1.07,1.77,1,0
2020-01-23,2020-01-28,6,0.69,0.87,1,0
2020-02-09,2020-03-30,51,1.05,2.36,3,17
2020-11-17,2020-11-28,12,1.13,1.74,3,6
2021-01-04,2021-01-09,6,1.25,1.71,1,0
2021-01-19,2021-02-22,35,2.13,4.84,4,23
2021-02-28,2021-04-06,38,0.88,1.27,2,13
2021-04-13,2021-04-24,12,0.39,0.49,1,0
2021-10-12,2021-11-02,22,0.48,0.77,2,3
2021-11-07,2021-11-16,10,0.55,0.7,1,0
2021-12-05,2021-12-16,12,0.85,1.22,1,0
2021-12-23,2022-01-01,10,1.4,2.01,3,6
2022-01-09,2022-01-14,6,0.99,1.09,1,0
2022-10-17,2022-10-24,8,0.52,0.58,2,1
2022-11-09,2022-11-13,5,0.36,0.41,1,0
2022-11-25,2022-11-30,6,0.76,0.86,1,0
2023-12-06,2023-12-12,7,0.84,1.0,1,0
2023-12-24,2023-12-28,5,1.2,1.5,2,2
2024-01-04,2024-01-08,5,1.26,1.67,1,0
2024-01-21,2024-03-02,42,1.25,2.14,3,16
2024-10-31,2024-11-04,5,0.67,0.87,1,0
2024-12-07,2024-12-17,11,0.94,1.07,1,0
2024-12-28,2025-01-15,19,1.47,2.06,2,6
2025-01-24,2025-01-29,6,0.77,0.81,1,0
2025-02-08,2025-02-15,8,1.13,1.4,1,0
2025-09-24,2025-09-30,7,0.36,0.41,1,0
2025-11-04,2025-11-30,27,0.65,0.95,2,7
2025-12-05,2025-12-26,22,1.14,2.16,3,7
2026-01-01,2026-03-03,62,1.22,2.86,3,15
2026-03-08,2026-03-18,11,1.01,1.66,3,7
2026-04-09,2026-04-17,9,0.57,0.72,1,0
2026-05-20,2026-06-11,23,0.52,0.88,3,9
