inicio,fin,duracion_dias,intensidad_media_c,intensidad_max_c,categoria_max,dias_cat2plus
1993-09-15,1993-09-19,5,0.45,0.5,1,0
1993-09-28,1993-10-02,5,0.43,0.49,1,0
1993-11-24,1993-11-28,5,0.82,0.92,1,0
1994-01-01,1994-01-11,11,1.01,1.44,1,0
1994-10-29,1994-11-03,6,0.91,1.05,1,0
1995-12-04,1995-12-10,7,1.33,1.59,2,1
1995-12-16,1996-01-06,22,1.55,2.18,3,12
1998-05-16,1998-06-07,23,0.47,0.66,1,0
1998-06-11,1998-09-02,84,0.43,0.74,2,8
1998-09-24,1998-10-12,19,0.52,0.64,1,0
1998-10-22,1998-10-26,5,0.49,0.58,1,0
1999-06-21,1999-06-26,6,0.52,0.59,1,0
1999-10-07,1999-10-23,17,0.77,1.06,2,8
1999-11-18,1999-11-30,13,0.85,1.01,1,0
2001-11-03,2001-11-08,6,0.84,1.08,1,0
2001-12-30,2002-01-06,8,1.09,1.35,1,0
2003-06-29,2003-07-09,11,0.39,0.52,1,0
2003-08-27,2003-08-31,5,0.32,0.37,1,0
2004-01-17,2004-01-23,7,1.04,1.43,2,1
2004-07-19,2004-07-25,7,0.44,0.52,1,0
2004-12-09,2004-12-13,5,0.88,0.98,1,0
2005-02-09,2005-02-13,5,1.09,1.25,1,0
2005-02-24,2005-03-05,10,0.76,0.99,1,0
2005-11-08,2005-11-16,9,0.98,1.41,2,3
2006-02-12,2006-03-02,19,1.26,1.92,2,3
2007-11-26,2007-11-30,5,1.05,1.27,1,0
2008-01-29,2008-02-16,19,1.49,2.0,2,8
2008-02-20,2008-03-08,18,1.14,2.05,2,3
2008-03-13,2008-03-22,10,0.84,1.03,1,0
2008-09-23,2008-09-28,6,0.44,0.53,1,0
2008-12-04,2008-12-21,18,1.52,1.91,2,9
2009-04-13,2009-04-17,5,0.76,0.89,1,0
2009-04-21,2009-05-05,15,0.43,0.72,2,1
2011-01-08,2011-01-14,7,0.77,0.91,1,0
2011-11-04,2011-11-09,6,0.79,0.88,1,0
2012-01-06,2012-01-10,5,1.03,1.22,1,0
2012-09-25,2012-10-02,8,0.71,0.88,2,3
2013-04-22,2013-04-26,5,0.61,0.74,2,1
2013-12-20,2013-12-26,7,0.83,0.87,1,0
2014-08-23,2014-09-04,13,0.29,0.32,1,0
2015-05-14,2015-05-19,6,0.37,0.44,1,0
2015-06-02,2015-06-06,5,0.34,0.38,1,0
2016-01-08,2016-01-26,19,0.96,1.32,2,3
2016-02-05,2016-02-09,5,1.23,1.39,1,0
2016-04-12,2016-04-16,5,0.95,1.26,2,2
2016-05-25,2016-06-06,13,0.44,0.51,1,0
2016-06-30,2016-08-29,61,0.45,0.59,2,7
2016-09-10,2016-09-15,6,0.4,0.44,1,0
2016-09-23,2016-09-29,7,0.41,0.47,1,0
2016-10-22,2016-11-02,12,0.88,1.07,3,4
2017-01-24,2017-01-31,8,0.96,1.16,1,0
2017-03-28,2017-04-07,11,0.76,0.88,1,0
2017-04-15,2017-05-16,32,0.61,0.87,2,13
2018-02-05,2018-02-09,5,1.09,1.26,1,0
2018-03-04,2018-03-08,5,0.8,0.89,1,0
2019-11-12,2019-11-18,7,0.62,0.69,1,0
2020-01-24,2020-01-28,5,0.81,0.85,1,0
2020-03-03,2020-03-11,9,0.9,1.24,1,0
2020-03-16,2020-03-27,12,0.63,0.72,1,0
2020-04-29,2020-05-03,5,0.57,0.68,1,0
2020-10-11,2020-10-19,9,0.56,0.66,1,0
2020-11-17,2020-11-23,7,1.23,1.54,2,3
2021-01-15,2021-01-25,11,0.85,1.15,1,0
2021-02-03,2021-02-18,16,1.91,3.1,3,6
2021-03-02,2021-03-11,10,1.05,1.2,1,0
2021-03-19,2021-03-23,5,0.77,0.92,1,0
2021-03-29,2021-04-07,10,0.68,0.97,1,0
2021-04-23,2021-04-30,8,0.53,0.73,2,1
2021-10-23,2021-10-28,6,0.55,0.78,2,1
2021-11-08,2021-11-14,7,0.96,1.16,1,0
2021-12-15,2022-01-03,20,1.29,2.07,2,7
2022-01-07,2022-01-18,12,1.11,1.68,3,5
2024-01-23,2024-02-08,17,1.22,1.61,2,5
2025-01-03,2025-01-16,14,1.08,1.62,3,3
2025-01-25,2025-01-31,7,0.84,1.0,1,0
2025-09-24,2025-09-28,5,0.4,0.45,1,0
2025-11-03,2025-11-20,18,1.04,1.26,2,4
2025-11-27,2025-12-08,12,1.15,1.49,2,2
2025-12-12,2025-12-21,10,0.68,0.81,1,0
2026-01-03,2026-02-04,33,1.57,2.3,3,20
2026-02-26,2026-03-02,5,0.76,0.92,1,0
